timestamp,mels_s,lig_s,mels_n,hvac_n,hvac_s,unnamed: 6,rtu_001_fltrd_sa_flow_tn,rtu_002_fltrd_sa_flow_tn,rtu_003_fltrd_sa_flow_tn,rtu_004_fltrd_sa_flow_tn,rtu_001_sf_vfd_spd_fbk_tn,rtu_002_sf_vfd_spd_fbk_tn,rtu_003_sf_vfd_spd_fbk_tn,rtu_004_sf_vfd_spd_fbk_tn,rtu_001_rf_vfd_spd_fbk_tn,rtu_002_rf_vfd_spd_fbk_tn,rtu_003_rf_vfd_spd_fbk_tn,rtu_004_rf_vfd_spd_fbk_tn,zone_016_heating_sp,zone_017_heating_sp,zone_018_heating_sp,zone_019_heating_sp,zone_021_heating_sp,zone_023_heating_sp,zone_024_heating_sp,zone_025_heating_sp,zone_026_heating_sp,zone_027_heating_sp,zone_030_heating_sp,zone_032_heating_sp,zone_035_heating_sp,zone_036_heating_sp,zone_037_heating_sp,zone_038_heating_sp,zone_039_heating_sp,zone_041_heating_sp,zone_042_heating_sp,zone_043_heating_sp,zone_046_heating_sp,zone_047_heating_sp,zone_048_heating_sp,zone_049_heating_sp,zone_051_heating_sp,zone_053_heating_sp,zone_054_heating_sp,zone_055_heating_sp,zone_056_heating_sp,zone_057_heating_sp,zone_059_heating_sp,zone_061_heating_sp,zone_062_heating_sp,zone_063_heating_sp,zone_064_heating_sp,zone_065_heating_sp,zone_066_heating_sp,zone_067_heating_sp,zone_069_heating_sp,zone_070_heating_sp,zone_071_heating_sp,unnamed: 42,unnamed: 43,unnamed: 44,unnamed: 45,unnamed: 46,unnamed: 47,unnamed: 48,unnamed: 49,unnamed: 50,unnamed: 51,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1
2020-01-01 02:30:00,1.029285084,0.934701362,2.708973386,9.399189422,28.73034808,22.0027712,15051.593933333334,15317.174533333335,14275.1716,11462.006466666668,82.76,83.76666666666667,82.70666666666666,83.0,59.28666666666666,63.22,57.233333333333334,90.67333333333333,71.0,71.0,71.0,64.0,71.0,81.32816246666667,70.0,71.0,70.0,71.0,70.0,74.32986776,67.0,68.0,67.85055342333332,71.0,71.0,70.0,71.0,70.0,124.43475343333334,71.0,71.0,71.0,74.39554930999999,110.24558606666666,72.0,71.0,70.0,64.0,72.0,78.6845162,71.0,68.0,68.0,69.0,69.0,69.97040808333333,68.0,64.0,71.97368356666667,71.0,70.0,71.0,71.0,71.0,112.4312645,71.0,71.0,71.0,73.15663396999999,11.39,12.97,2.62,55.12,0.0
2020-01-01 02:45:00,1.320921891,0.97473774,2.754344804,10.06950326,26.93596644,20.33512649,15252.653933333333,15498.370400000002,14473.4844,11561.803600000001,83.6,84.54,83.21333333333334,83.83999999999999,60.70666666666667,64.94,60.86666666666667,91.48,71.0,71.0,71.0,64.0,71.0,80.40029731666667,70.0,71.0,70.0,71.0,70.0,73.53675604666667,67.0,68.0,67.80915771333333,71.0,71.0,70.0,71.0,70.0,114.24345283333334,71.0,71.0,71.0,73.61188602,108.57430503333335,72.0,71.0,70.0,64.0,72.0,77.6815146,71.0,68.0,68.0,69.0,69.0,69.96857960333334,68.0,64.0,71.53907382,71.0,70.0,71.0,71.0,71.0,109.35382526666666,71.0,71.0,71.0,73.08011846333333,11.44,12.86,2.62,54.96,0.0
2020-01-01 03:00:00,1.229534006,0.831693728,2.74632066,9.887288144,26.1857684,19.53391664,15151.438433333333,15280.042266666665,14232.752333333334,11371.5728,82.58666666666666,83.69333333333334,82.42666666666668,82.64,61.42666666666666,66.13333333333334,58.21333333333334,87.73333333333333,71.0,71.0,71.0,64.0,71.0,80.29144516333334,70.0,71.0,70.0,71.0,70.0,73.55175162333333,67.0,68.0,67.84169239333333,71.0,71.0,70.0,71.0,70.0,115.22950046666666,71.0,71.0,71.0,73.60739217333334,108.49019686666668,72.0,71.0,70.0,64.0,72.0,77.64006752,71.0,68.0,68.0,69.0,69.0,69.79860232,68.0,64.0,71.71647517666666,71.0,70.0,71.0,71.0,71.0,109.77702863333333,71.0,71.0,71.0,73.16030837666666,11.33,12.93,2.6,55.26,0.01
2020-01-01 03:15:00,1.440786996,1.053676035,2.994219736,10.12389157,25.25046464,17.35386609,14999.577466666668,15141.386066666666,14084.3332,11303.3534,81.82666666666667,82.81333333333333,81.88000000000001,81.98,60.81333333333334,64.48,54.1,90.3,71.0,71.0,71.0,64.0,71.0,80.4780408,70.0,71.0,70.0,71.0,70.0,73.50135039333333,67.0,68.0,67.90277319333333,71.0,71.0,70.0,71.0,70.0,110.72661641666667,71.0,71.0,71.0,73.60706093666666,111.25935193333333,72.0,71.0,70.0,64.0,72.0,76.90289751,71.0,68.0,68.0,69.0,69.0,68.93825070999999,68.0,64.0,71.05350588666666,71.0,70.0,71.0,71.0,71.0,102.64700097000001,71.0,71.0,71.0,72.68525289666667,11.43,12.82,2.39,54.11,0.01
2020-01-01 03:30:00,0.9063842,1.113065904,2.73774475,9.369740054,26.19521882,19.11132797,14994.5522,15272.307333333332,14207.214133333333,11377.6162,82.41333333333334,83.38000000000001,82.18,82.44,59.04666666666667,64.40666666666667,56.03333333333333,91.41333333333334,71.0,71.0,71.0,64.0,71.0,79.71822831333334,70.0,71.0,70.0,71.0,70.0,73.28580005666667,67.0,68.0,67.72110310666666,71.0,71.0,70.0,71.0,70.0,112.29449631666667,71.0,71.0,71.0,73.41686920666668,100.46415316000001,72.0,71.0,70.0,64.0,72.0,77.58506383000001,71.0,68.0,68.0,69.0,69.0,69.93034212666667,68.0,64.0,70.90391218666667,71.0,70.0,71.0,71.0,71.0,101.03953379333332,71.0,71.0,71.0,72.93009604000001,11.41,12.99,2.06,52.93,0.01
2020-01-01 03:45:00,1.316070741,1.004324763,2.594158321,10.20185578,28.71246168,22.0379728,15135.6319,15332.095633333334,14274.3184,11407.108066666666,82.66666666666667,83.58666666666666,82.28666666666666,82.82666666666667,60.593333333333334,65.09333333333333,56.82666666666667,91.44,71.0,71.0,71.0,64.0,71.0,78.13096735666666,70.0,71.0,70.0,71.0,70.0,73.11410569,67.0,68.0,67.73133087000001,71.0,71.0,70.0,71.0,70.0,111.11003672,71.0,71.0,71.0,73.06886165666667,94.61247271,72.0,71.0,70.0,64.0,72.0,76.50773761333333,71.0,68.0,68.0,69.0,69.0,69.67804765,68.0,64.0,70.8825596,71.0,70.0,71.0,71.0,71.0,104.03579984,71.0,71.0,71.0,72.81019765,11.44,13.2,1.88,52.15,0.02
2020-01-01 04:00:00,1.246166939,0.929164333,2.769003077,9.911961683,26.75491771,19.94141196,15044.112166666666,15240.653133333335,14215.793666666666,11382.7864,82.46666666666667,83.37333333333332,82.32,82.58666666666666,60.42666666666666,64.02,57.266666666666666,91.78,71.0,71.0,71.0,64.0,71.0,82.04911319666667,70.0,71.0,70.0,71.0,70.0,74.88855260666666,67.0,68.0,67.69983104666666,71.0,71.0,70.0,71.0,70.0,136.75333503333331,71.0,71.0,71.0,74.94491714666667,103.3379144,72.0,71.0,70.0,64.0,72.0,81.81880037333333,71.0,68.0,68.0,69.0,69.0,72.58274368666667,68.0,64.0,73.75978838666667,71.0,70.0,71.0,71.0,71.0,126.9648095,71.0,71.0,71.0,74.54095939666666,11.46,13.42,1.95,52.33,0.02
2020-01-01 04:15:00,1.179321142,0.757739217,2.65609406,9.793664265,27.02824658,20.46338187,14922.0728,15121.491266666668,14144.163933333333,11314.7344,81.93333333333334,82.72,82.02666666666667,81.97333333333333,59.38666666666666,62.513333333333335,57.99333333333333,90.58,71.0,71.0,71.0,64.0,71.0,80.47635002333334,70.0,71.0,70.0,71.0,70.0,73.77339573,67.0,68.0,67.82953912333333,71.0,71.0,70.0,71.0,70.0,115.25425096666667,71.0,71.0,71.0,73.63316486666666,108.74638540000001,72.0,71.0,70.0,64.0,72.0,77.62445453333333,71.0,68.0,68.0,69.0,69.0,69.73396565333333,68.0,64.0,72.01971771,71.0,70.0,71.0,71.0,71.0,109.46379423333333,71.0,71.0,71.0,73.10409427666667,11.77,12.77,1.96,51.32,0.03
2020-01-01 04:30:00,0.751071542,0.548090307,2.35644973,9.306400346,26.54829265,19.80057466,14840.326000000001,14993.6462,13936.870266666667,11124.297466666667,80.91333333333334,81.97333333333333,80.78666666666666,80.84666666666666,60.10666666666667,60.766666666666666,56.55333333333333,86.5,71.0,71.0,71.0,64.0,71.0,79.29997977333333,70.0,71.0,70.0,71.0,70.0,72.57805185,67.0,68.0,67.78503631,71.0,71.0,70.0,71.0,70.0,100.02048653333334,71.0,71.0,71.0,72.45736824666666,105.27298170666666,72.0,71.0,70.0,64.0,72.0,75.86197786000001,71.0,68.0,68.0,69.0,69.0,69.55841577,68.0,64.0,71.51835615333333,71.0,70.0,71.0,71.0,71.0,104.52529664666667,71.0,71.0,71.0,72.74386861,11.31,11.4,3.7,59.8,0.11
2020-01-01 04:45:00,1.29864826,1.113553225,2.767654543,9.871584649,28.27549812,21.61933168,14871.977733333333,15028.100933333333,14021.606133333333,11189.8444,81.46000000000001,82.27333333333333,81.37333333333332,81.22,59.419999999999995,62.82,55.11333333333334,88.62666666666668,71.0,71.0,71.0,64.0,71.0,77.19899168333335,70.0,71.0,70.0,71.0,70.0,72.08280943,67.0,68.0,67.72003887333334,71.0,71.0,70.0,71.0,70.0,102.74598138333333,71.0,71.0,71.0,72.54274486,96.96246995666667,72.0,71.0,70.0,64.0,72.0,75.25041663,71.0,68.0,68.0,69.0,69.0,67.65829041,68.0,64.0,70.08905836333334,71.0,70.0,71.0,71.0,71.0,97.85514979333334,71.0,71.0,71.0,72.39426872,10.58,10.33,6.28,74.95,0.13
